identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:wes_somatic_pair::output::normalized_vcf,IOSlot|io_slot,workflow-zip-knowledge-card,normalized_vcf,output,,false,wes_somatic_pair::output::normalized_vcf,normalized_vcf,wes_somatic_pair,filtered_vcf,File,,,,,,WesSomaticPair.normalized_vcf,
io_slot:wes_somatic_pair::output::pass_vcf,IOSlot|io_slot,workflow-zip-knowledge-card,pass_vcf,output,,false,wes_somatic_pair::output::pass_vcf,pass_vcf,wes_somatic_pair,filtered_vcf,File,,,,,,WesSomaticPair.pass_vcf,
io_slot:wes_somatic_pair::output::tumor_bai,IOSlot|io_slot,workflow-zip-knowledge-card,tumor_bai,output,,false,wes_somatic_pair::output::tumor_bai,tumor_bai,wes_somatic_pair,bai,File,,,,,,WesSomaticPair.tumor_bai,
io_slot:wes_somatic_pair::output::tumor_bam,IOSlot|io_slot,workflow-zip-knowledge-card,tumor_bam,output,,false,wes_somatic_pair::output::tumor_bam,tumor_bam,wes_somatic_pair,sorted_dedup_bam,File,,,,,,WesSomaticPair.tumor_bam,
io_slot:wes_somatic_pair::output::unfiltered_vcf,IOSlot|io_slot,workflow-zip-knowledge-card,unfiltered_vcf,output,,false,wes_somatic_pair::output::unfiltered_vcf,unfiltered_vcf,wes_somatic_pair,unfiltered_vcf,File,,,,,,WesSomaticPair.unfiltered_vcf,
io_slot:wgcna::in::clinical,io_slot,,Clinical phenotype table containing grade and gender,input,,true,wgcna::in::clinical,clinical_table,wgcna,,File,,,,,clinical_xls,HRA000074_WGCNA.clinical_xls,
io_slot:wgcna::in::counts,io_slot,,Raw gene count matrix processed with DESeq2 VST,input,,true,wgcna::in::counts,count_matrix,wgcna,,File,,,,,counts_tsv,HRA000074_WGCNA.counts_tsv,
io_slot:wgcna::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,wgcna::in::metainfo,sample_metainfo,wgcna,,File,,,,,metainfo_xlsx,HRA000074_WGCNA.metainfo_xlsx,
io_slot:wgcna::out::archives,io_slot,,Prepare and analysis result archives,output,,false,wgcna::out::archives,archives,wgcna,,File,,,,,,,
io_slot:wgcna::out::figures,io_slot,,WGCNA preparation and analysis figures,output,,false,wgcna::out::figures,figures,wgcna,,File,,,,,,,
io_slot:wgcna::out::hub_genes,io_slot,,Stable and all hub genes,output,,false,wgcna::out::hub_genes,hub_genes,wgcna,,File,,,,,,,
io_slot:wgcna::out::modules,io_slot,,Module and module-trait results,output,,false,wgcna::out::modules,module_results,wgcna,,File,,,,,,,
io_slot:wgcna::out::qc,io_slot,,QC and trait matrix tables,output,,false,wgcna::out::qc,quality_control,wgcna,,File,,,,,,,
io_slot:wgcna_hub::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,wgcna_hub::input::clinical_table,clinical_table,wgcna_hub,clinical_table,File,,,,,clinical_xls,wgcna_hub.clinical_xls,
io_slot:wgcna_hub::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,wgcna_hub::input::sample_metainfo,sample_metainfo,wgcna_hub,sample_metainfo,File,,,,,meta_xlsx,wgcna_hub.meta_xlsx,
io_slot:wgcna_hub::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,wgcna_hub::input::tabular_bio_data,tabular_bio_data,wgcna_hub,analysis_summary,File,,,,,expr,wgcna_hub.expr,
io_slot:wgcna_hub::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,wgcna_hub::output::quality_control_report,quality_control_report,wgcna_hub,quality_control_report,File,,,,,,,
io_slot:wgcna_hub::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,wgcna_hub::output::tabular_bio_data,tabular_bio_data,wgcna_hub,analysis_summary,File,,,,,,,
io_slot:wgcna_module_trait::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,wgcna_module_trait::input::clinical_table,clinical_table,wgcna_module_trait,clinical_table,File,,,,,clinical_xls,wgcna_module_trait.clinical_xls,
io_slot:wgcna_module_trait::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,wgcna_module_trait::input::sample_metainfo,sample_metainfo,wgcna_module_trait,sample_metainfo,File,,,,,meta_xlsx,wgcna_module_trait.meta_xlsx,
io_slot:wgcna_module_trait::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,wgcna_module_trait::input::tabular_bio_data,tabular_bio_data,wgcna_module_trait,analysis_summary,File,,,,,expr,wgcna_module_trait.expr,
io_slot:wgcna_module_trait::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,wgcna_module_trait::output::quality_control_report,quality_control_report,wgcna_module_trait,quality_control_report,File,,,,,,,
io_slot:wgcna_module_trait::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,wgcna_module_trait::output::tabular_bio_data,tabular_bio_data,wgcna_module_trait,analysis_summary,File,,,,,,,
