identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:diff_expr_kegg::out::differential,io_slot,,Differential expression and regulated gene tables,output,,false,diff_expr_kegg::out::differential,differential_expression,diff_expr_kegg,,File,,,,,,,
io_slot:diff_expr_kegg::out::enrichment,io_slot,,Reactome pathway enrichment tables,output,,false,diff_expr_kegg::out::enrichment,reactome_enrichment,diff_expr_kegg,,File,,,,,,,
io_slot:driver_gene_gender_analysis::in::clinical,io_slot,,Clinical table containing individual accession and gender,input,,true,driver_gene_gender_analysis::in::clinical,clinical_table,driver_gene_gender_analysis,,File,,,,,clinical_xls,driver_gene_gender_analysis.clinical_xls,
io_slot:driver_gene_gender_analysis::in::metainfo,io_slot,,MetaInfo workbook containing Individuals and samples plus Files sheets,input,,true,driver_gene_gender_analysis::in::metainfo,sample_metainfo,driver_gene_gender_analysis,,File,,,,,metainfo_xlsx,driver_gene_gender_analysis.metainfo_xlsx,
io_slot:driver_gene_gender_analysis::in::maf,io_slot,,MAF with Hugo_Symbol Tumor_Sample_Barcode and Variant_Classification,input,,true,driver_gene_gender_analysis::in::maf,somatic_maf,driver_gene_gender_analysis,,File,,,,,maf,driver_gene_gender_analysis.maf,
io_slot:driver_gene_gender_analysis::out::matrix,io_slot,,Sample-by-gene binary mutation matrix,output,,false,driver_gene_gender_analysis::out::matrix,binary_mutation_matrix,driver_gene_gender_analysis,,File,,,,,,,
io_slot:driver_gene_gender_analysis::out::figures,io_slot,,Bar oncoplot heatmap and volcano figures,output,,false,driver_gene_gender_analysis::out::figures,figures,driver_gene_gender_analysis,,File,,,,,,,
io_slot:driver_gene_gender_analysis::out::statistics,io_slot,,Gender-stratified mutation frequency statistics,output,,false,driver_gene_gender_analysis::out::statistics,gender_mutation_statistics,driver_gene_gender_analysis,,File,,,,,,,
io_slot:fastp::input::raw_fastq_read,IOSlot|io_slot,sister-tool-csv,Raw FASTQ,input,,false,fastp::input::raw_fastq_read,raw_fastq_read,fastp,raw_fastq_read,File,mate,r1,,raw_fastq_read_r1,,,
io_slot:fastp::input::raw_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,raw_fastq_read_r1,input,,false,fastp::input::raw_fastq_read_r1,raw_fastq_read_r1,fastp,raw_fastq_read,File,mate,r1,single_end|paired_end,,read1,FastpPairedEndWorkflow.read1,
io_slot:fastp::input::raw_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,raw_fastq_read_r2,input,,false,fastp::input::raw_fastq_read_r2,raw_fastq_read_r2,fastp,raw_fastq_read,File,mate,r2,paired_end,,read2,FastpPairedEndWorkflow.read2,
io_slot:fastp::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,fastp::output::clean_fastq_read,clean_fastq_read,fastp,clean_fastq_read,File,mate,r1,,clean_fastq_read_r1,,,
io_slot:fastp::output::clean_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r1,output,,false,fastp::output::clean_fastq_read_r1,clean_fastq_read_r1,fastp,clean_fastq_read,File,mate,r1,,,,,
io_slot:fastp::output::clean_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r2,output,,false,fastp::output::clean_fastq_read_r2,clean_fastq_read_r2,fastp,clean_fastq_read,File,mate,r2,,,,,
io_slot:fastqc::input::clean_fastq_read,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Clean FASTQ,input,fastq_reads,false,fastqc::input::clean_fastq_read,clean_fastq_read,fastqc,,Array[File]+,,,,,fastqs,FastQcWorkflow.fastqs,array
io_slot:fastqc::input::raw_fastq_read,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ,input,fastq_reads,false,fastqc::input::raw_fastq_read,raw_fastq_read,fastqc,,Array[File]+,,,,,fastqs,FastQcWorkflow.fastqs,array
io_slot:fastqc::output::quality_control_report,IOSlot|io_slot,qc-report-contract-fix-2026-07-22,Quality Control Report,output,,false,fastqc::output::quality_control_report,quality_control_report,fastqc,,File,,,,,,,
io_slot:featurecounts::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,featurecounts::input::genome_annotation,genome_annotation,featurecounts,,File,,,,,gtf_file,FeatureCountsWorkflow.gtf_file,
io_slot:featurecounts::input::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,input,,true,featurecounts::input::sorted_dedup_bam,sorted_dedup_bam,featurecounts,,File,,,,,bam,FeatureCountsWorkflow.bam,
io_slot:featurecounts::output::expression_count_matrix,IOSlot|io_slot,sister-tool-csv,Raw Counts,output,,false,featurecounts::output::expression_count_matrix,expression_count_matrix,featurecounts,,File,,,,,,,
io_slot:gatk::input::interval_list,IOSlot|io_slot,slot-model-fix-2026-07-24,interval_list,input,,true,gatk::input::interval_list,interval_list,gatk,interval_list,File,,,,,interval_list,GatkWesSomaticWorkflow.interval_list,
io_slot:gatk::input::normal_bai,IOSlot|io_slot,slot-model-fix-2026-07-24,normal_bai,input,,false,gatk::input::normal_bai,normal_bai,gatk,bai,File,sample_role,normal,paired,,normal_bai,GatkWesSomaticWorkflow.normal_bai,
io_slot:gatk::input::normal_bam,IOSlot|io_slot,slot-model-fix-2026-07-24,normal_bam,input,,false,gatk::input::normal_bam,normal_bam,gatk,sorted_dedup_bam,File,sample_role,normal,paired,,normal_bam,GatkWesSomaticWorkflow.normal_bam,
io_slot:gatk::input::tumor_bai,IOSlot|io_slot,slot-model-fix-2026-07-24,tumor_bai,input,,false,gatk::input::tumor_bai,tumor_bai,gatk,bai,File,sample_role,tumor,paired,,tumor_bai,GatkWesSomaticWorkflow.tumor_bai,
io_slot:gatk::input::tumor_bam,IOSlot|io_slot,slot-model-fix-2026-07-24,tumor_bam,input,,false,gatk::input::tumor_bam,tumor_bam,gatk,sorted_dedup_bam,File,sample_role,tumor,paired,,tumor_bam,GatkWesSomaticWorkflow.tumor_bam,
